_source,_ts,strategy,params,Sharpe,CAGR,MaxDD,Trades,WinRate,AvgTrade,FeeBps,EquityFinal,RobustScore,Pass
2025-10-23T20-26-35-546Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-546Z,Example Strategy (Baseline),{},-4.622298472133596,-0.5098606449847797,0.5243119339536249,,,,,5085.04912,,
2025-10-23T20-26-35-553Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-553Z,Example Strategy (Baseline),{},-3.9072474580424785,-0.475277669943151,0.5046621391560253,,,,,5424.72373,,
2025-10-23T20-26-35-561Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-561Z,Example Strategy (Baseline),{},-4.43761223586335,-0.4946656383321518,0.5042232813368913,,,,,5234.44208,,
2025-10-23T20-26-35-568Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-568Z,Example Strategy (Baseline),{},-4.610506538518356,-0.5034431307060834,0.5252385738387902,,,,,5148.17301,,
2025-10-23T20-26-35-577Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-577Z,Example Strategy (Baseline),{},-4.7764084209170194,-0.518084719125096,0.5366991174369988,,,,,5004.09313,,
2025-10-23T20-26-35-586Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-586Z,Example Strategy (Baseline),{},-4.457008408338255,-0.49056290184125906,0.5092659105496921,,,,,5274.739,,
2025-10-23T20-26-35-594Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-594Z,Example Strategy (Baseline),{},-4.787981251380126,-0.5259599004477864,0.5424004203389929,,,,,4926.50475,,
2025-10-23T20-26-35-604Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-604Z,Example Strategy (Baseline),{},-4.860963590336671,-0.5229567257548127,0.5363138978655957,,,,,4956.10061,,
2025-10-23T20-26-35-612Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-612Z,Example Strategy (Baseline),{},-4.72448310985349,-0.5125909146374295,0.5206393666578335,,,,,5058.18077,,
2025-10-24T19-11-39-411Z_UnnamedStrategy\auditoria.csv,2025-10-24T19-11-39-411Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-25T06-18-32-093Z_UnnamedStrategy\auditoria.csv,2025-10-25T06-18-32-093Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
2025-10-26T04-45-17-222Z_UnnamedStrategy\auditoria.csv,2025-10-26T04-45-17-222Z,UnnamedStrategy,{},1.2299026650737503,0.05774243192786366,0.021671636587271705,,,,,10546.83695,,
